Hochschulname,Land,Hochschultyp,Trägerschaft,Promotionsrecht,Gründungsjahr,AnzahlStudierende,MitgliedschaftHRK
Hochschule für angewandte Wissenschaften Neu-Ulm,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,4147,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Niederrhein,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,13748,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Norddeutsche Hochschule für Rechtspflege – Niedersachsen,NI,Verwaltungshochschule,öffentlich-rechtlich,nein,2007,409,nein
Kommunale Hochschule für Verwaltung in Niedersachsen,NI,Verwaltungshochschule,öffentlich-rechtlich,nein,2007,1570,nein
Hochschule Nordhausen,TH,Fachhochschule / HAW,öffentlich-rechtlich,nein,1997,2212,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
DIPLOMA Hochschule,HE,Private Hochschule / HAW,privat,nein,1997,8596,nein
Deutsche Hochschule der Polizei,NW,Verwaltungshochschule,öffentlich-rechtlich,ja,2008,486,nein
Fachhochschule für Rechtspflege Nordrhein-Westfalen,NW,Verwaltungshochschule,öffentlich-rechtlich,nein,1976,863,nein
Hochschule für Finanzen NRW,NW,Verwaltungshochschule,öffentlich-rechtlich,nein,1976,2809,nein
Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen,NW,Verwaltungshochschule,öffentlich-rechtlich,[ja][Anmerkung 1],1976,16853,nein
SRH Hochschule in Nordrhein-Westfalen,NW,Fachhochschule / HAW,privat,nein,2005,768,nein
Akademie der Bildenden Künste Nürnberg,BY,Künstlerische Hochschule,öffentlich-rechtlich,nein,1662,312,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für Musik Nürnberg,BY,Künstlerische Hochschule,öffentlich-rechtlich,ja,2008,434,ja (Gruppe der Künstlerischen Hochschulen)
Technische Hochschule Nürnberg Georg Simon Ohm,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1823,12925,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Universität Nürnberg,BY,Universität,öffentlich-rechtlich,ja,2021,7,unbekannt
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,BW,Fachhochschule / HAW,öffentlich-rechtlich,nein,1949,5416,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Gestaltung Offenbach,HE,Künstlerische Hochschule,öffentlich-rechtlich,ja,1970,780,ja (Gruppe der Künstlerischen Hochschulen)
"Hochschule für Technik, Wirtschaft und Medien Offenburg",BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1971,4162,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Carl von Ossietzky Universität Oldenburg,NI,Universität,öffentlich-rechtlich,ja,1973,15635,ja (Gruppe der Universitäten)
Hochschule Osnabrück,NI,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,13620,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Osnabrück,NI,Universität,öffentlich-rechtlich,ja,1973,13640,ja (Gruppe der Universitäten)
"Hochschule Braunschweig/Wolfenbüttel, Ostfalia Hochschule für angewandte Wissenschaften",NI,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,11577,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Technische Hochschule Ostwestfalen-Lippe,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1971,6206,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
"Hochschule für Künste im Sozialen, Ottersberg",NI,Fachhochschule / HAW,privat,nein,1967,342,"nein"""
Fachhochschule der Wirtschaft,NW,Fachhochschule / HAW,privat,nein,1993,2044,nein
Universität Paderborn,NW,Universität,öffentlich-rechtlich,ja,1972,19106,ja (Gruppe der Universitäten)
Universität Passau,BY,Universität,öffentlich-rechtlich,ja,1973,10521,ja (Gruppe der Universitäten)
"Hochschule Pforzheim – Gestaltung, Technik, Wirtschaft und Recht",BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1877,5753,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Filmuniversität Babelsberg Konrad Wolf,BB,Künstlerische Hochschule,öffentlich-rechtlich,ja,1954,916,ja (Gruppe der Künstlerischen Hochschulen)
Fachhochschule Potsdam,BB,Fachhochschule / HAW,öffentlich-rechtlich,nein,1991,3634,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Fachhochschule für Sport und Management Potsdam,BB,Fachhochschule / HAW,privat,nein,2009,384,nein
Gisma University of Applied Sciences,BB,Fachhochschule / HAW,privat,nein,2020,225,nein
Health and Medical University Potsdam,BB,Hochschule eigenen Typs,privat,nein,2019,494,nein
Universität Potsdam,BB,Universität,öffentlich-rechtlich,ja,1991,21433,ja (Gruppe der Universitäten)
University of Europe for Applied Sciences,BB,Fachhochschule / HAW,privat,nein,2000,3306,nein
XU Exponential University of Applied Sciences,BB,Fachhochschule / HAW,privat,nein,2018,169,nein
Hochschule Ravensburg-Weingarten,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1964,3734,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Ostbayerische Technische Hochschule Regensburg,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,10586,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Regensburg,BY,Universität,öffentlich-rechtlich,ja,1962,20699,ja (Gruppe der Universitäten)
Hochschule Reutlingen,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1855,5164,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Finanzen Rheinland-Pfalz,RP,Verwaltungshochschule,öffentlich-rechtlich,nein,1981,711,nein
Hochschule der Polizei Rheinland-Pfalz,RP,Verwaltungshochschule,öffentlich-rechtlich,nein,2015,1573,nein
Hochschule für öffentliche Verwaltung Rheinland-Pfalz,RP,Verwaltungshochschule,öffentlich-rechtlich,nein,1981,927,nein
Hochschule Rhein-Waal – University of Applied Sciences,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],2009,6672,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
SRH Fernhochschule – The Mobile University,BW,Fachhochschule / HAW,privat,nein,1996,7409,nein
Technische Hochschule Rosenheim,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,6464,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Musik und Theater Rostock,MV,Künstlerische Hochschule,öffentlich-rechtlich,ja,1994,558,ja (Gruppe der Künstlerischen Hochschulen)
Universität Rostock,MV,Universität,öffentlich-rechtlich,ja,1419,12664,ja (Gruppe der Universitäten)
Hochschule für Forstwirtschaft Rottenburg,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1954,952,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Ruhr West – University of Applied Sciences,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],2009,6407,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Deutsche Hochschule für Prävention und Gesundheitsmanagement GmbH,SL,Fachhochschule / HAW,privat,nein,2001,7722,nein
Hochschule für Musik Saar,SL,Künstlerische Hochschule,öffentlich-rechtlich,ja,1947,424,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule für Technik und Wirtschaft des Saarlandes,SL,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,6086,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität des Saarlandes,SL,Universität,öffentlich-rechtlich,ja,1948,16117,ja (Gruppe der Universitäten)
Hochschule der Bildenden Künste Saar,SL,Künstlerische Hochschule,öffentlich-rechtlich,ja,1989,471,ja (Gruppe der Künstlerischen Hochschulen)
Fachhochschule der Verwaltung des Saarlandes,SL,Verwaltungshochschule,öffentlich-rechtlich,nein,1980,797,nein
Fachhochschule Polizei Sachsen-Anhalt,ST,Verwaltungshochschule,öffentlich-rechtlich,nein,1997,752,nein
Hochschule der Sächsischen Polizei (FH),SN,Verwaltungshochschule,öffentlich-rechtlich,nein,1994,618,nein
"Hochschule für öffentliche Verwaltung und Rechtspflege (FH), Fortbildungszentrum des Freistaates Sachsen",SN,Verwaltungshochschule,öffentlich-rechtlich,nein,1992,1102,"nein"""
Duale Hochschule Schleswig-Holstein (DHSH),SH,Fachhochschule / HAW,privat,nein,2018,476,nein
Fachhochschule für Verwaltung und Dienstleistung in Schleswig-Holstein,SH,Verwaltungshochschule,öffentlich-rechtlich,nein,1975,1727,nein
Hochschule Schmalkalden,TH,Fachhochschule / HAW,öffentlich-rechtlich,nein,1991,2434,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Gestaltung Schwäbisch Gmünd,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1776,748,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Pädagogische Hochschule Schwäbisch Gmünd,BW,Universität,öffentlich-rechtlich,ja,1962,2993,ja (Gruppe Pädagogischen Hochschulen)
Universität Siegen,NW,Universität,öffentlich-rechtlich,ja,1972,17807,ja (Gruppe der Universitäten)
Deutsche Universität für Verwaltungswissenschaften Speyer,RP,Universität,öffentlich-rechtlich,ja,1947,301,ja (Gruppe der Universitäten)
Hochschule Stralsund,MV,Fachhochschule / HAW,öffentlich-rechtlich,nein,1991,2376,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
AKAD Hochschule Stuttgart,BW,Fachhochschule / HAW,privat,nein,1959,5897,nein
Staatliche Akademie der Bildenden Künste Stuttgart,BW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1761,829,ja (Gruppe der Künstlerischen Hochschulen)
Duale Hochschule Baden-Württemberg,BW,Hochschule eigenen Typs,öffentlich-rechtlich,nein,2009,32588,ja (Gruppe der sonstigen Hochschulen)
Hochschule für Technik Stuttgart,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1832,4077,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule der Medien Stuttgart,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1903,5511,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Kommunikation und Gestaltung,BW,Fachhochschule / HAW,privat,nein,2013,157,nein
Staatliche Hochschule für Musik und Darstellende Kunst Stuttgart,BW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1857,771,ja (Gruppe der Künstlerischen Hochschulen)
Hochschule Macromedia,BW,Fachhochschule / HAW,privat,nein,2006,4818,nein
media Akademie – Hochschule Stuttgart,BW,Fachhochschule / HAW,privat,nein,2015,88,nein
"Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart",BW,Fachhochschule / HAW,privat,nein,1985,248,"nein"""
Universität Stuttgart,BW,Universität,öffentlich-rechtlich,ja,1829,22616,ja (Gruppe der Universitäten)
Freie Hochschule Stuttgart – Seminar für Waldorfpädagogik,BW,Universität,privat,nein,1919,307,nein
VWA-Hochschule für berufsbegleitendes Studium,BW,Fachhochschule / HAW,privat,nein,2013,168,nein
